Technology,Delay_Years,Total_Duration_Years,WACC,WACC_Pct,Capex_Overnight_kW,Capex_Total_kW,IDC_kW,IDC_Multiplier
SMR,8.0,12.0,0.085,8.5%,9000.0,16780.76398887643,7780.7639888764315,1.8645293320973813
SMR,8.0,12.0,0.1,10.0%,9000.0,18356.09295566988,9356.09295566988,2.03956588396332
SMR,9.0,13.0,0.04,4.0%,9000.0,13253.605069394493,4253.605069394493,1.472622785488277
SMR,9.0,13.0,0.055,5.5%,9000.0,14615.3786058545,5615.378605854499,1.6239309562060555
SMR,9.0,13.0,0.07,7.0%,9000.0,16117.700998218399,7117.700998218399,1.790855666468711
SMR,9.0,13.0,0.085,8.5%,9000.0,17774.666405271204,8774.666405271204,1.9749629339190227
SMR,9.0,13.0,0.1,10.0%,9000.0,19601.70189480385,10601.70189480385,2.177966877200428
SMR,10.0,14.0,0.04,4.0%,9000.0,13706.540528543504,4706.5405285435045,1.522948947615945
SMR,10.0,14.0,0.055,5.5%,9000.0,15234.793230230247,6234.793230230247,1.6927548033589164
SMR,10.0,14.0,0.07,7.0%,9000.0,16935.97704553108,7935.977045531079,1.881775227281231
SMR,10.0,14.0,0.085,8.5%,9000.0,18829.280162590527,9829.280162590527,2.0921422402878362
SMR,10.0,14.0,0.1,10.0%,9000.0,20935.91894956029,11935.918949560291,2.32621321661781
20-yr LTO,0.0,2.0,0.04,4.0%,1200.0,1248.2399769275137,48.23997692751368,1.040199980772928
20-yr LTO,0.0,2.0,0.055,5.5%,1200.0,1266.4536687143354,66.45366871433544,1.0553780572619462
20-yr LTO,0.0,2.0,0.07,7.0%,1200.0,1284.734789752344,84.73478975234411,1.0706123247936201
20-yr LTO,0.0,2.0,0.085,8.5%,1200.0,1303.0832993327786,103.08329933277855,1.0859027494439821
20-yr LTO,0.0,2.0,0.1,10.0%,1200.0,1321.499148694391,121.4991486943909,1.101249290578659
20-yr LTO,1.0,3.0,0.04,4.0%,1200.0,1292.2680912163266,92.26809121632664,1.0768900760136055
20-yr LTO,1.0,3.0,0.055,5.5%,1200.0,1320.7341773251999,120.73417732519988,1.1006118144376666
20-yr LTO,1.0,3.0,0.07,7.0%,1200.0,1349.5380476873765,149.53804768737655,1.1246150397394805
20-yr LTO,1.0,3.0,0.085,8.5%,1200.0,1378.6809959590216,178.68099595902163,1.1489008299658514
20-yr LTO,1.0,3.0,0.1,10.0%,1200.0,1408.1643087111975,208.16430871119746,1.1734702572593312
20-yr LTO,2.0,4.0,0.04,4.0%,1200.0,1337.6354591505258,137.63545915052578,1.1146962159587714
20-yr LTO,2.0,4.0,0.055,5.5%,1200.0,1377.190876014741,177.19087601474098,1.1476590633456174
20-yr LTO,2.0,4.0,0.07,7.0%,1200.0,1417.5477803343128,217.54778033431285,1.1812898169452608
20-yr LTO,2.0,4.0,0.085,8.5%,1200.0,1458.7157863453883,258.7157863453883,1.215596488621157
20-yr LTO,2.0,4.0,0.1,10.0%,1200.0,1500.7045439806457,300.70454398064567,1.2505871199838714
20-yr LTO,3.0,5.0,0.04,4.0%,1200.0,1384.3898907730613,184.38989077306132,1.1536582423108845
20-yr LTO,3.0,5.0,0.055,5.5%,1200.0,1435.9263890391392,235.92638903913917,1.1966053241992827
20-yr LTO,3.0,5.0,0.07,7.0%,1200.0,1488.9505172681575,288.95051726815745,1.2407920977234645
20-yr LTO,3.0,5.0,0.085,8.5%,1200.0,1543.4933410464546,343.4933410464546,1.2862444508720454
20-yr LTO,3.0,5.0,0.1,10.0%,1200.0,1599.5863148230958,399.5863148230958,1.332988595685913
20-yr LTO,4.0,5.0,0.04,4.0%,1200.0,1384.3898907730613,184.38989077306132,1.1536582423108845
20-yr LTO,4.0,5.0,0.055,5.5%,1200.0,1435.9263890391392,235.92638903913917,1.1966053241992827
20-yr LTO,4.0,5.0,0.07,7.0%,1200.0,1488.9505172681575,288.95051726815745,1.2407920977234645
20-yr LTO,4.0,5.0,0.085,8.5%,1200.0,1543.4933410464546,343.4933410464546,1.2862444508720454
